Provider Name,NPI,Address,City,State,ZIP Code,Specialty,Phone
Dr. Sarah Johnson,1234567890,123 Medical Plaza Dr,Boston,MA,02115,Cardiology,617-555-0100
Dr. Michael Chen,2345678901,456 Healthcare Blvd,Cambridge,MA,02139,Pediatrics,617-555-0200
Dr. Emily Rodriguez,3456789012,789 Hospital Way,Brookline,MA,02445,Internal Medicine,617-555-0300
Dr. James Williams,4567890123,321 Clinic Street,Newton,MA,02458,Orthopedic Surgery,617-555-0400
Dr. Linda Martinez,5678901234,654 Doctor Lane,Somerville,MA,02143,Obstetrics & Gynecology,617-555-0500
Dr. Robert Taylor,6789012345,987 Health Center Ave,Waltham,MA,02451,Emergency Medicine,617-555-0600
Dr. Patricia Anderson,7890123456,147 Medical Arts Blvd,Quincy,MA,02169,Psychiatry,617-555-0700
Dr. David Thompson,8901234567,258 Practice Parkway,Medford,MA,02155,Family Medicine,617-555-0800
Dr. Jennifer Garcia,9012345678,369 Provider Plaza,Malden,MA,02148,Dermatology,617-555-0900
Dr. Christopher Lee,1122334455,741 Specialist Street,Everett,MA,02149,Radiology,617-555-1000
Dr. Maria Hernandez,2233445566,852 Wellness Way,Revere,MA,02151,Neurology,617-555-1100
Dr. William Brown,3344556677,963 Care Center Ct,Peabody,MA,01960,Urology,978-555-1200
Dr. Elizabeth Wilson,4455667788,159 Treatment Terrace,Salem,MA,01970,Oncology,978-555-1300
Dr. Charles Moore,5566778899,753 Healing Heights,Lynn,MA,01901,Gastroenterology,781-555-1400
Dr. Barbara Miller,6677889900,951 Recovery Road,Woburn,MA,01801,Endocrinology,781-555-1500
Dr. Joseph Davis,7788990011,357 Therapy Trail,Burlington,MA,01803,Pulmonology,781-555-1600
Dr. Susan Garcia,8899001122,486 Medical Mile,Lexington,MA,02420,Rheumatology,781-555-1700
Dr. Thomas Martinez,9900112233,624 Health Harbor,Waltham,MA,02453,Nephrology,781-555-1800
Dr. Karen Rodriguez,1231231234,791 Clinic Cove,Watertown,MA,02472,Hematology,617-555-1900
Dr. Daniel Lopez,2342342345,135 Practice Point,Belmont,MA,02478,Infectious Disease,617-555-2000
Dr. Nancy White,3453453456,246 Provider Pike,Arlington,MA,02474,Allergy & Immunology,781-555-2100
Dr. Paul Harris,4564564567,579 Specialist Street,Medford,MA,02155,Otolaryngology,781-555-2200
Dr. Lisa Clark,5675675678,813 Doctor Drive,Somerville,MA,02144,Ophthalmology,617-555-2300
Dr. Mark Lewis,6786786789,924 Physician Place,Cambridge,MA,02138,Pathology,617-555-2400
Dr. Betty Walker,7897897890,168 Surgeon Street,Boston,MA,02116,Anesthesiology,617-555-2500
