Provider Name,NPI,Address,City,State,ZIP Code,Specialty,Phone,Email,Confidence Score,Status,Sources,Discrepancies
"Dr. Sarah Johnson",1234567890,"123 Medical Plaza Dr, Suite 200","Boston","MA","02115","Cardiology","617-555-0100","sjohnson@bostonheart.org","95%","verified","NPPES,CMS Provider Database,State Medical Board",""
"Dr. Michael Chen",1234567891,"456 Healthcare Blvd","Cambridge","MA","02138","Internal Medicine","617-555-0101","mchen@cambridgecare.com","88%","verified","NPPES,Medicare,Hospital Directory",""
"Dr. Emily Rodriguez",1234567892,"789 Hospital Way, Suite 305","Brookline","MA","02445","Pediatrics","617-555-0102","erodriguez@brooklinepeds.org","92%","verified","NPPES,State Licensing Board","Address format standardized"
"Dr. James Wilson",1234567893,"321 Clinic Street","Newton","MA","02458","Family Medicine","617-555-0103","jwilson@newtonfamily.com","72%","needs_review","NPPES,State Medical Board","Partial address match,Phone number not confirmed"
"Dr. Lisa Anderson",1234567894,"654 Doctor Lane, Building B","Somerville","MA","02143","Orthopedic Surgery","617-555-0104","landerson@somervilleortho.net","91%","verified","NPPES,Hospital Directory,CMS","Suite number added"
"Dr. Robert Martinez",1234567895,"876 Medical Center Dr","Boston","MA","02120","Emergency Medicine","617-555-0105","rmartinez@bostonem.org","45%","needs_review","State Medical Board","NPI active but address differs,Specialty mismatch"
"Dr. Patricia Taylor",1234567896,"234 Health Plaza","Cambridge","MA","02139","Obstetrics & Gynecology","617-555-0106","ptaylor@cambridgeobgyn.com","96%","verified","NPPES,Medicare,State Licensing Board",""
"Dr. Christopher Brown",1234567897,"Not found","Boston","MA","02101","Psychiatry","","","25%","failed","","NPI not found in NPPES,Insufficient information"
"Dr. Jennifer Davis",1234567898,"567 Wellness Way, Suite 401","Brookline","MA","02446","Radiology","617-555-0108","jdavis@brooklineradiology.org","89%","verified","NPPES,Hospital Network,CMS",""
"Dr. David Miller",1234567899,"890 Care Center Blvd","Newton","MA","02459","Anesthesiology","617-555-0109","dmiller@newtonanesthesia.com","68%","needs_review","NPPES","Multiple practice locations found"
"Dr. Maria Garcia",1234567900,"123 Primary Care St","Somerville","MA","02144","Family Medicine","617-555-0110","mgarcia@somervilleprimary.net","94%","verified","NPPES,State Medical Board,Medicare",""
"Dr. Thomas Lee",1234567901,"456 Specialist Ave, Floor 3","Boston","MA","02116","Cardiology","617-555-0111","tlee@bostoncardio.org","87%","verified","NPPES,CMS,Hospital Directory","Address format standardized"
"Dr. Angela White",1234567902,"789 Children's Way","Cambridge","MA","02140","Pediatrics","617-555-0112","awhite@cambridgekids.com","93%","verified","NPPES,State Licensing Board",""
"Dr. Kevin Harris",1234567903,"Not found","Brookline","MA","02447","Internal Medicine","","","18%","failed","","Provider not found in any data source"
"Dr. Michelle Clark",1234567904,"321 Mental Health Plaza","Newton","MA","02460","Psychiatry","617-555-0114","mclark@newtonpsych.org","90%","verified","NPPES,Medicare,State Medical Board",""
"Dr. Brian Lewis",1234567905,"654 Surgery Center Dr","Somerville","MA","02145","Orthopedic Surgery","617-555-0115","blewis@somervillesurgery.net","75%","needs_review","NPPES,Hospital Directory","Phone number not confirmed"
"Dr. Sandra Robinson",1234567906,"876 Women's Health Blvd","Boston","MA","02121","Obstetrics & Gynecology","617-555-0116","srobinson@bostonwomens.org","91%","verified","NPPES,CMS,State Licensing Board",""
"Dr. Daniel Walker",1234567907,"234 Imaging Center Way","Cambridge","MA","02141","Radiology","617-555-0117","dwalker@cambridgeimaging.com","88%","verified","NPPES,Hospital Network",""
"Dr. Karen Hall",1234567908,"567 Emergency Plaza","Brookline","MA","02448","Emergency Medicine","617-555-0118","khall@brooklineem.org","82%","verified","NPPES,State Medical Board","Address standardized"
"Dr. Steven Young",1234567909,"890 Pain Management Dr","Newton","MA","02461","Anesthesiology","617-555-0119","syoung@newtonpain.com","55%","needs_review","State Medical Board","Partial information,NPI requires verification"
